datetime_AEST,datetime_local,location_id,location_name,BPM2.5
2019-12-31 23:00:00,2020-01-01 00:00:00,10239,Melbourne CBD,56.683
2020-01-01 00:00:00,2020-01-01 01:00:00,10239,Melbourne CBD,51.95
2020-01-01 01:00:00,2020-01-01 02:00:00,10239,Melbourne CBD,10.75
2020-01-01 02:00:00,2020-01-01 03:00:00,10239,Melbourne CBD,9.783
2020-01-01 03:00:00,2020-01-01 04:00:00,10239,Melbourne CBD,1.883
2020-01-01 04:00:00,2020-01-01 05:00:00,10239,Melbourne CBD,8.267
2020-01-01 05:00:00,2020-01-01 06:00:00,10239,Melbourne CBD,8.517
2020-01-01 06:00:00,2020-01-01 07:00:00,10239,Melbourne CBD,4.517
2020-01-01 07:00:00,2020-01-01 08:00:00,10239,Melbourne CBD,4.133
2020-01-01 08:00:00,2020-01-01 09:00:00,10239,Melbourne CBD,9.9
2020-01-01 09:00:00,2020-01-01 10:00:00,10239,Melbourne CBD,11.383
2020-01-01 10:00:00,2020-01-01 11:00:00,10239,Melbourne CBD,8.533
2020-01-01 11:00:00,2020-01-01 12:00:00,10239,Melbourne CBD,4.417
2020-01-01 12:00:00,2020-01-01 13:00:00,10239,Melbourne CBD,10.633
2020-01-01 13:00:00,2020-01-01 14:00:00,10239,Melbourne CBD,11.533
2020-01-01 14:00:00,2020-01-01 15:00:00,10239,Melbourne CBD,8.333
2020-01-01 15:00:00,2020-01-01 16:00:00,10239,Melbourne CBD,6.983
2020-01-01 16:00:00,2020-01-01 17:00:00,10239,Melbourne CBD,4.383
2020-01-01 17:00:00,2020-01-01 18:00:00,10239,Melbourne CBD,13.233
2020-01-01 18:00:00,2020-01-01 19:00:00,10239,Melbourne CBD,3
2020-01-01 19:00:00,2020-01-01 20:00:00,10239,Melbourne CBD,-1.367
2020-01-01 20:00:00,2020-01-01 21:00:00,10239,Melbourne CBD,1.95
2020-01-01 21:00:00,2020-01-01 22:00:00,10239,Melbourne CBD,1.633
2020-01-01 22:00:00,2020-01-01 23:00:00,10239,Melbourne CBD,6.267
2020-01-01 23:00:00,2020-01-02 00:00:00,10239,Melbourne CBD,7.367
2020-01-02 00:00:00,2020-01-02 01:00:00,10239,Melbourne CBD,5.283
2020-01-02 01:00:00,2020-01-02 02:00:00,10239,Melbourne CBD,0.817
2020-01-02 02:00:00,2020-01-02 03:00:00,10239,Melbourne CBD,-0.1
2020-01-02 03:00:00,2020-01-02 04:00:00,10239,Melbourne CBD,1.983
2020-01-02 04:00:00,2020-01-02 05:00:00,10239,Melbourne CBD,7.583
2020-01-02 05:00:00,2020-01-02 06:00:00,10239,Melbourne CBD,10.683
2020-01-02 06:00:00,2020-01-02 07:00:00,10239,Melbourne CBD,5.917
2020-01-02 07:00:00,2020-01-02 08:00:00,10239,Melbourne CBD,4.9
2020-01-02 08:00:00,2020-01-02 09:00:00,10239,Melbourne CBD,
2020-01-02 09:00:00,2020-01-02 10:00:00,10239,Melbourne CBD,
2020-01-02 10:00:00,2020-01-02 11:00:00,10239,Melbourne CBD,
2020-01-02 11:00:00,2020-01-02 12:00:00,10239,Melbourne CBD,
2020-01-02 12:00:00,2020-01-02 13:00:00,10239,Melbourne CBD,
2020-01-02 13:00:00,2020-01-02 14:00:00,10239,Melbourne CBD,10.86
2020-01-02 14:00:00,2020-01-02 15:00:00,10239,Melbourne CBD,13.433
2020-01-02 15:00:00,2020-01-02 16:00:00,10239,Melbourne CBD,12.083
2020-01-02 16:00:00,2020-01-02 17:00:00,10239,Melbourne CBD,3.783
2020-01-02 17:00:00,2020-01-02 18:00:00,10239,Melbourne CBD,8.833
2020-01-02 18:00:00,2020-01-02 19:00:00,10239,Melbourne CBD,-2.417
2020-01-02 19:00:00,2020-01-02 20:00:00,10239,Melbourne CBD,-3.367
2020-01-02 20:00:00,2020-01-02 21:00:00,10239,Melbourne CBD,3.317
2020-01-02 21:00:00,2020-01-02 22:00:00,10239,Melbourne CBD,2.617
2020-01-02 22:00:00,2020-01-02 23:00:00,10239,Melbourne CBD,-0.433
2020-01-02 23:00:00,2020-01-03 00:00:00,10239,Melbourne CBD,3.683
2020-01-03 00:00:00,2020-01-03 01:00:00,10239,Melbourne CBD,2.217
2020-01-03 01:00:00,2020-01-03 02:00:00,10239,Melbourne CBD,3.183
2020-01-03 02:00:00,2020-01-03 03:00:00,10239,Melbourne CBD,4.3
2020-01-03 03:00:00,2020-01-03 04:00:00,10239,Melbourne CBD,2.683
2020-01-03 04:00:00,2020-01-03 05:00:00,10239,Melbourne CBD,3.5
2020-01-03 05:00:00,2020-01-03 06:00:00,10239,Melbourne CBD,4.267
2020-01-03 06:00:00,2020-01-03 07:00:00,10239,Melbourne CBD,3.25
2020-01-03 07:00:00,2020-01-03 08:00:00,10239,Melbourne CBD,7.05
2020-01-03 08:00:00,2020-01-03 09:00:00,10239,Melbourne CBD,22.083
2020-01-03 09:00:00,2020-01-03 10:00:00,10239,Melbourne CBD,42.75
2020-01-03 10:00:00,2020-01-03 11:00:00,10239,Melbourne CBD,94.933
2020-01-03 11:00:00,2020-01-03 12:00:00,10239,Melbourne CBD,121.533
2020-01-03 12:00:00,2020-01-03 13:00:00,10239,Melbourne CBD,102.933
2020-01-03 13:00:00,2020-01-03 14:00:00,10239,Melbourne CBD,123.933
2020-01-03 14:00:00,2020-01-03 15:00:00,10239,Melbourne CBD,164.917
2020-01-03 15:00:00,2020-01-03 16:00:00,10239,Melbourne CBD,202.45
2020-01-03 16:00:00,2020-01-03 17:00:00,10239,Melbourne CBD,180.183
2020-01-03 17:00:00,2020-01-03 18:00:00,10239,Melbourne CBD,118.1
2020-01-03 18:00:00,2020-01-03 19:00:00,10239,Melbourne CBD,58.983
2020-01-03 19:00:00,2020-01-03 20:00:00,10239,Melbourne CBD,87.133
2020-01-03 20:00:00,2020-01-03 21:00:00,10239,Melbourne CBD,98.167
2020-01-03 21:00:00,2020-01-03 22:00:00,10239,Melbourne CBD,89.167
2020-01-03 22:00:00,2020-01-03 23:00:00,10239,Melbourne CBD,77.817
2020-01-03 23:00:00,2020-01-04 00:00:00,10239,Melbourne CBD,81.1
2020-01-04 00:00:00,2020-01-04 01:00:00,10239,Melbourne CBD,66.267
2020-01-04 01:00:00,2020-01-04 02:00:00,10239,Melbourne CBD,43.083
2020-01-04 02:00:00,2020-01-04 03:00:00,10239,Melbourne CBD,35.55
2020-01-04 03:00:00,2020-01-04 04:00:00,10239,Melbourne CBD,34.317
2020-01-04 04:00:00,2020-01-04 05:00:00,10239,Melbourne CBD,30.717
2020-01-04 05:00:00,2020-01-04 06:00:00,10239,Melbourne CBD,33.083
2020-01-04 06:00:00,2020-01-04 07:00:00,10239,Melbourne CBD,29.117
2020-01-04 07:00:00,2020-01-04 08:00:00,10239,Melbourne CBD,32.217
2020-01-04 08:00:00,2020-01-04 09:00:00,10239,Melbourne CBD,31.983
2020-01-04 09:00:00,2020-01-04 10:00:00,10239,Melbourne CBD,26.783
2020-01-04 10:00:00,2020-01-04 11:00:00,10239,Melbourne CBD,29.383
2020-01-04 11:00:00,2020-01-04 12:00:00,10239,Melbourne CBD,33.75
2020-01-04 12:00:00,2020-01-04 13:00:00,10239,Melbourne CBD,15.417
2020-01-04 13:00:00,2020-01-04 14:00:00,10239,Melbourne CBD,8.417
2020-01-04 14:00:00,2020-01-04 15:00:00,10239,Melbourne CBD,11.017
2020-01-04 15:00:00,2020-01-04 16:00:00,10239,Melbourne CBD,9.383
2020-01-04 16:00:00,2020-01-04 17:00:00,10239,Melbourne CBD,12.633
2020-01-04 17:00:00,2020-01-04 18:00:00,10239,Melbourne CBD,11.95
2020-01-04 18:00:00,2020-01-04 19:00:00,10239,Melbourne CBD,6.867
2020-01-04 19:00:00,2020-01-04 20:00:00,10239,Melbourne CBD,7.367
2020-01-04 20:00:00,2020-01-04 21:00:00,10239,Melbourne CBD,3.683
2020-01-04 21:00:00,2020-01-04 22:00:00,10239,Melbourne CBD,6.917
2020-01-04 22:00:00,2020-01-04 23:00:00,10239,Melbourne CBD,7.083
2020-01-04 23:00:00,2020-01-05 00:00:00,10239,Melbourne CBD,5.25
2020-01-05 00:00:00,2020-01-05 01:00:00,10239,Melbourne CBD,1.267
2020-01-05 01:00:00,2020-01-05 02:00:00,10239,Melbourne CBD,6.367
2020-01-05 02:00:00,2020-01-05 03:00:00,10239,Melbourne CBD,2.85
2020-01-05 03:00:00,2020-01-05 04:00:00,10239,Melbourne CBD,3.583
2020-01-05 04:00:00,2020-01-05 05:00:00,10239,Melbourne CBD,5.167
2020-01-05 05:00:00,2020-01-05 06:00:00,10239,Melbourne CBD,1.133
2020-01-05 06:00:00,2020-01-05 07:00:00,10239,Melbourne CBD,0.867
2020-01-05 07:00:00,2020-01-05 08:00:00,10239,Melbourne CBD,5.15
2020-01-05 08:00:00,2020-01-05 09:00:00,10239,Melbourne CBD,2.7
2020-01-05 09:00:00,2020-01-05 10:00:00,10239,Melbourne CBD,2.033
2020-01-05 10:00:00,2020-01-05 11:00:00,10239,Melbourne CBD,6.933
2020-01-05 11:00:00,2020-01-05 12:00:00,10239,Melbourne CBD,11.683
2020-01-05 12:00:00,2020-01-05 13:00:00,10239,Melbourne CBD,7.15
2020-01-05 13:00:00,2020-01-05 14:00:00,10239,Melbourne CBD,4.083
2020-01-05 14:00:00,2020-01-05 15:00:00,10239,Melbourne CBD,9.467
2020-01-05 15:00:00,2020-01-05 16:00:00,10239,Melbourne CBD,4.917
2020-01-05 16:00:00,2020-01-05 17:00:00,10239,Melbourne CBD,2.383
2020-01-05 17:00:00,2020-01-05 18:00:00,10239,Melbourne CBD,5.617
2020-01-05 18:00:00,2020-01-05 19:00:00,10239,Melbourne CBD,-0.45
2020-01-05 19:00:00,2020-01-05 20:00:00,10239,Melbourne CBD,6.733
2020-01-05 20:00:00,2020-01-05 21:00:00,10239,Melbourne CBD,4.55
2020-01-05 21:00:00,2020-01-05 22:00:00,10239,Melbourne CBD,1.9
2020-01-05 22:00:00,2020-01-05 23:00:00,10239,Melbourne CBD,-2.633
2020-01-05 23:00:00,2020-01-06 00:00:00,10239,Melbourne CBD,5.383
2020-01-06 00:00:00,2020-01-06 01:00:00,10239,Melbourne CBD,5.167
2020-01-06 01:00:00,2020-01-06 02:00:00,10239,Melbourne CBD,14.7
2020-01-06 02:00:00,2020-01-06 03:00:00,10239,Melbourne CBD,31.217
2020-01-06 03:00:00,2020-01-06 04:00:00,10239,Melbourne CBD,18.817
2020-01-06 04:00:00,2020-01-06 05:00:00,10239,Melbourne CBD,42.883
2020-01-06 05:00:00,2020-01-06 06:00:00,10239,Melbourne CBD,52.733
2020-01-06 06:00:00,2020-01-06 07:00:00,10239,Melbourne CBD,69.05
2020-01-06 07:00:00,2020-01-06 08:00:00,10239,Melbourne CBD,72.95
2020-01-06 08:00:00,2020-01-06 09:00:00,10239,Melbourne CBD,75.283
2020-01-06 09:00:00,2020-01-06 10:00:00,10239,Melbourne CBD,78.033
2020-01-06 10:00:00,2020-01-06 11:00:00,10239,Melbourne CBD,71.167
2020-01-06 11:00:00,2020-01-06 12:00:00,10239,Melbourne CBD,88.467
2020-01-06 12:00:00,2020-01-06 13:00:00,10239,Melbourne CBD,132.667
2020-01-06 13:00:00,2020-01-06 14:00:00,10239,Melbourne CBD,139
2020-01-06 14:00:00,2020-01-06 15:00:00,10239,Melbourne CBD,146.133
2020-01-06 15:00:00,2020-01-06 16:00:00,10239,Melbourne CBD,159.567
2020-01-06 16:00:00,2020-01-06 17:00:00,10239,Melbourne CBD,162.95
